shoe_name,shoe_type,shoe_price
Nike Squash-Type,Men's Shoe,$85
Nike Air Zoom Pegasus 37,Men's Running Shoe,$120
Nike Air Zoom Pegasus 37 FlyEase,Men's Running Shoe,$120
Nike Daybreak-Type,Men's Shoes,$90
Nike Metcon 5,Men's Training Shoe,$130
Nike Air Zoom SuperRep,Men's HIIT Class Shoe,$120
Nike Free Metcon 3,Training Shoe,$120
"KD13 ""Chill""",Basketball Shoe,$160
LeBron 17,Basketball Shoe,$200
Nike Air Max 2090,Men's Shoe,$150
Nike Air VaporMax Flyknit 3,Men's Shoe,$200
Air Jordan 1 Low,Shoe,$90
Air Jordan 1 Mid,Shoe,$115
Nike Air Force 1 '07,Men's Shoe,$110
Nike Air Force 1 '07 LV8,Men's Shoe,$110
Nike React Miler,Men's Running Shoe,$130
Nike Air Force 1 '07,Men's Shoe,$90
Nike Air Force 1 '07,Women's Shoe,$90
Nike Air Force 1 '07,Men's Shoe,$90
Nike Air Force 1 React,Men's Shoe,$120
LeBron 17 Low,Basketball Shoe,$160
PG 4,Basketball Shoe,$110
Nike Air VaporMax Plus (Chicago),Men's Shoe,$200
Nike Air Max 2090,Men's Shoe,$160
